Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2019136381931,1,1,3,1,19,4,3,5,3,0,0,0,0,1,2
2019136390437,1,1,1,1,21,5,3,0,0,0,0,0,9,1,4
2019136390437,2,2,1,1,54,8,3,0,0,0,0,0,9,1,4
2019136390437,2,3,2,1,31,6,3,0,0,1,0,0,9,1,1
2019136390962,2,1,1,1,73,10,3,0,0,0,0,0,9,1,1
2019136391174,1,1,2,2,39,7,3,0,0,1,0,0,9,1,4
2019136391174,2,2,2,1,49,8,3,0,0,1,0,0,8,2,5
2019136391174,2,3,2,1,47,8,3,0,0,2,0,0,8,2,8
2019136391174,2,4,2,2,54,8,3,0,0,2,0,0,8,2,8
2019136391232,1,1,3,2,44,7,2,4,3,0,0,0,0,1,1
20191363A0265,1,1,3,1,31,6,2,4,3,0,0,0,0,1,6
20191363A1097,1,1,1,1,58,9,3,0,0,0,0,0,9,1,3
20191363A1533,1,1,1,1,28,6,3,0,0,0,0,0,9,1,2
20191363A1533,1,2,2,1,27,6,3,0,0,1,0,0,9,1,5
20191363A1533,2,3,1,1,20,4,3,0,0,0,0,0,9,1,1
20191363A1533,2,4,2,2,19,4,3,0,0,1,0,0,9,1,3
20191363B0127,1,1,3,2,60,9,3,10,3,0,0,0,0,1,8
20191363B0235,1,1,1,2,58,9,3,0,0,0,0,0,9,1,7
20191363B0472,1,1,1,1,78,11,3,0,0,0,0,0,9,1,5
20191363B0472,1,3,2,2,72,10,3,0,0,1,0,0,9,1,5
20191363B0472,2,2,1,2,73,10,3,0,0,0,0,0,9,2,6
20191363B0606,1,1,2,1,12,3,3,0,0,1,0,0,9,-1,-1
20191363B1046,1,1,1,2,54,8,2,0,0,0,0,0,1,1,10
20191363C0591,2,1,1,1,68,10,3,0,0,0,0,0,9,1,3
20191363C1196,2,1,1,2,19,4,3,0,0,0,0,0,9,1,8
20191363D0905,1,1,3,2,36,7,3,5,3,0,0,0,0,1,2
20191363D1257,2,1,1,1,22,5,3,0,0,0,0,0,9,2,9
20191363D1660,1,1,1,1,33,6,3,0,0,0,0,0,9,1,1
20191363D1660,2,2,1,1,33,6,3,0,0,0,0,0,9,1,1
20191363D1667,1,1,3,2,12,3,3,5,3,0,0,0,0,1,1
20191363E0050,1,1,1,1,37,7,3,0,0,0,0,0,9,-1,-1
20191363E0281,2,1,1,1,35,6,3,0,0,0,0,0,9,1,1
20191363E1291,1,1,1,1,24,5,3,0,0,0,0,0,9,1,1
20191363E1291,2,2,1,2,55,8,3,0,0,0,0,0,9,1,3
20191363F0380,2,1,2,1,43,7,3,0,0,1,0,0,19,1,3
20191363F0799,1,1,1,1,87,11,3,0,0,0,0,0,9,1,9
20191363F0799,2,2,1,1,26,6,3,0,0,0,0,0,9,1,10
20191363F1887,2,1,2,2,56,9,3,0,0,2,0,0,9,1,1
20191363G0885,2,1,1,1,28,6,3,0,0,0,0,0,1,1,3
20191363G0929,2,1,1,2,45,7,3,0,0,0,0,0,9,1,1
20191363G1910,2,1,2,2,68,10,3,0,0,1,0,0,9,1,6
20191363H0936,1,1,1,2,48,8,3,0,0,0,0,0,9,1,2
20191363I1545,1,1,1,1,31,6,3,0,0,0,0,0,9,1,1
20191363J1156,2,1,2,1,25,5,3,0,0,1,0,0,9,1,1
20191363J1894,2,1,1,2,19,4,2,0,0,0,0,0,9,1,1
20191363J1997,1,1,3,1,18,4,3,5,3,0,0,0,0,2,7
20191363K1492,1,1,3,1,4,1,3,5,9,0,0,0,0,1,4
20191363M0447,2,1,1,1,68,10,3,0,0,0,0,0,9,1,1
20191363N0786,2,1,1,2,43,7,3,0,0,0,0,0,9,1,10
20191363N2107,1,1,1,2,48,8,3,0,0,0,0,0,9,2,6
20191363O0168,1,1,1,1,38,7,3,0,0,0,0,0,9,1,1
20191363O0813,1,1,3,2,36,7,3,5,3,0,0,0,0,2,6
20191363O2024,1,1,1,1,18,4,3,0,0,0,0,0,9,1,3
20191363O2024,1,2,2,1,18,4,3,0,0,1,0,0,9,-1,-1
20191363P0892,2,1,1,1,27,6,3,0,0,0,0,0,9,1,7
20191363P0923,1,1,1,2,55,8,3,0,0,0,0,0,9,1,6
20191363P1658,1,1,1,1,24,5,3,0,0,0,0,0,9,1,2
20191363P2073,1,1,1,1,39,7,2,0,0,0,0,0,5,1,6
20191363Q0318,2,1,1,1,52,8,3,0,0,0,0,0,1,1,9
20191363R1082,1,1,3,2,12,3,3,5,3,0,0,0,0,-1,-1
20191363R1179,1,1,1,1,67,10,3,0,0,0,0,0,5,1,3
20191363R1410,2,1,1,2,55,8,3,0,0,0,0,0,9,1,5
20191363R1410,3,2,1,2,19,4,3,0,0,0,0,0,9,1,2
20191363S0395,1,1,3,2,47,8,3,5,1,0,0,0,0,1,2
20191363S0502,1,1,1,2,73,10,3,0,0,0,0,0,9,1,10
20191363S1720,1,1,3,1,63,9,3,5,3,0,0,0,0,1,1
20191363T0003,1,1,3,2,20,4,3,5,2,0,0,0,0,1,2
20191363T0278,1,1,1,1,25,5,3,0,0,0,0,0,9,1,3
20191363U0614,2,1,1,2,46,8,3,0,0,0,0,0,3,1,5
20191363V0543,1,1,1,2,30,6,3,0,0,0,0,0,9,1,5
20191363V0543,1,2,2,2,7,2,3,0,0,1,0,0,9,1,5
20191363V0565,2,1,2,2,26,6,3,0,0,1,0,0,9,1,3
2019136411131,2,1,1,2,46,8,3,0,0,0,0,0,9,1,1
2019136420434,2,1,1,1,36,7,3,0,0,0,0,0,1,1,8
2019136420646,1,1,3,1,12,3,3,6,9,0,0,0,0,1,3
2019136431379,1,1,3,1,40,7,2,5,1,0,0,0,0,1,1
2019136440548,1,1,3,1,48,8,3,9,9,0,0,0,0,1,4
2019136440607,2,1,1,1,17,4,3,0,0,0,0,0,9,-1,-1
2019136441327,1,1,1,2,19,4,3,0,0,0,0,0,9,1,10
2019136441327,2,2,1,2,56,9,3,0,0,0,0,0,9,1,4
2019136441327,2,3,2,2,21,5,3,0,0,1,0,0,9,1,4
2019136461152,2,1,1,2,48,8,3,0,0,0,0,0,9,1,1
2019136461996,1,1,1,2,33,6,3,0,0,0,0,0,9,1,3
2019136462168,1,1,1,1,29,6,3,0,0,0,0,0,9,1,1
2019136462168,2,2,2,2,39,7,3,0,0,2,0,0,9,1,1
2019136471003,2,1,1,2,48,8,3,0,0,0,0,0,9,1,2
2019136471003,2,2,2,2,54,8,3,0,0,1,0,0,9,1,2
2019136471003,2,3,2,2,49,8,3,0,0,2,0,0,9,1,2
2019136471300,2,1,1,1,34,6,3,0,0,0,0,0,9,1,3
2019136480090,1,1,1,1,44,7,2,0,0,0,0,0,9,-1,-1
2019136480205,2,1,1,1,56,9,3,0,0,0,0,0,1,1,9
2019136481073,2,1,1,1,51,8,3,0,0,0,0,0,9,1,1
2019136491639,2,1,1,1,50,8,3,0,0,0,0,0,9,1,3
2019136491639,2,2,2,2,24,5,3,0,0,1,0,0,9,1,3
20191364A1570,2,1,1,1,39,7,3,0,0,0,0,0,9,1,4
20191364B0205,2,1,1,1,53,8,3,0,0,0,0,0,9,1,1
20191364B0592,2,1,1,1,57,9,2,0,0,0,0,0,1,2,8
20191364B1065,2,1,1,1,32,6,3,0,0,0,0,0,10,1,1
20191364B1065,2,2,2,1,14,3,3,0,0,2,0,0,10,1,1
20191364B1065,2,3,2,1,18,4,3,0,0,2,0,0,10,1,1
20191364B1065,2,4,2,1,12,3,3,0,0,2,0,0,10,1,1
20191364B1065,2,5,2,1,15,3,3,0,0,1,0,0,10,1,2
20191364B2077,1,1,1,1,20,4,2,0,0,0,0,0,1,1,1
20191364C0881,1,1,3,1,9,2,2,4,4,0,0,0,0,1,1
20191364C1076,2,1,1,2,38,7,3,0,0,0,0,0,9,1,5
20191364C1846,1,1,2,1,21,5,3,0,0,1,0,0,9,1,1
20191364C1846,2,2,1,1,22,5,3,0,0,0,0,0,9,1,4
20191364C2107,1,1,1,1,50,8,3,0,0,0,0,0,9,1,5
20191364C2107,2,2,1,1,34,6,3,0,0,0,0,0,9,1,1
20191364D1175,1,1,1,1,48,8,3,0,0,0,0,0,3,1,1
20191364D1288,1,1,2,2,25,5,3,0,0,1,0,0,9,1,1
20191364D1288,2,2,1,2,21,5,3,0,0,0,0,0,9,1,1
20191364D1288,2,3,2,1,17,4,3,0,0,1,0,0,9,1,1
20191364E1919,1,1,1,1,20,4,3,0,0,0,0,0,9,1,1
20191364E1919,1,2,2,1,16,4,3,0,0,1,0,0,9,1,1
20191364G1067,1,1,1,1,26,6,3,0,0,0,0,0,19,1,3
20191364G1067,1,2,2,1,13,3,3,0,0,1,0,0,19,1,1
20191364G1067,2,3,1,1,20,4,3,0,0,0,0,0,9,2,10
20191364H1357,1,1,1,2,39,7,3,0,0,0,0,0,9,1,3
20191364H2044,1,1,1,1,48,8,3,0,0,0,0,0,9,1,1
20191364I0671,2,1,1,1,8,2,3,0,0,0,0,0,1,1,3
20191364I2065,1,1,1,2,21,5,3,0,0,0,0,0,9,1,5
20191364I2065,1,2,2,2,21,5,3,0,0,1,0,0,9,-1,-1
20191364J0604,2,1,1,1,37,7,3,0,0,0,0,0,9,1,2
20191364K0829,1,1,3,1,3,1,3,5,9,0,0,0,0,1,5
20191364K1425,2,1,1,2,24,5,3,0,0,0,0,0,9,1,1
20191364K1425,2,2,2,2,23,5,3,0,0,1,0,0,9,1,1
20191364L1015,2,1,1,1,61,9,3,0,0,0,0,0,1,1,3
20191364L1718,1,1,2,1,18,4,3,0,0,2,0,0,9,-1,-1
20191364L1718,2,2,1,1,26,6,3,0,0,0,0,0,9,1,3
20191364M0391,2,1,1,2,33,6,3,0,0,0,0,0,9,1,1
20191364M0530,2,1,2,2,64,9,3,0,0,1,0,0,9,1,1
20191364N1810,1,1,3,2,30,6,2,4,3,0,0,0,0,1,1
20191364O0771,1,1,3,1,5,1,2,5,1,0,0,0,0,1,2
20191364P1715,1,1,3,1,17,4,2,1,1,0,0,0,0,-1,-1
20191364R0892,2,1,1,1,19,4,3,0,0,0,0,0,9,1,2
20191364R1473,2,1,1,2,35,6,3,0,0,0,0,0,9,1,3
20191364S0975,2,1,2,2,33,6,3,0,0,1,0,0,9,1,9
20191364T1052,2,1,1,2,29,6,3,0,0,0,0,0,9,1,1
20191364U0364,1,1,1,1,82,11,3,0,0,0,0,0,9,1,1
20191364U0394,3,1,1,1,44,7,3,0,0,0,0,0,9,1,5
2019136510316,2,1,1,1,44,7,3,0,0,0,0,0,1,1,8
2019136511117,1,1,1,2,44,7,3,0,0,0,0,0,9,-1,-1
2019136511214,2,1,1,2,48,8,3,0,0,0,0,0,1,1,3
2019136511434,2,1,1,1,45,7,3,0,0,0,0,0,1,1,6
2019136511722,1,1,1,2,18,4,3,0,0,0,0,0,9,1,9
2019136511722,1,2,2,2,17,4,3,0,0,1,0,0,9,1,4
2019136511722,1,3,2,2,16,4,3,0,0,2,0,0,9,1,9
2019136511722,2,4,1,1,41,7,3,0,0,0,0,0,9,1,1
2019136511722,2,5,2,1,28,6,3,0,0,1,0,0,9,1,2
2019136520964,1,1,1,1,25,5,3,0,0,0,0,0,9,1,1
2019136521168,1,1,3,1,12,3,3,5,2,0,0,0,0,1,3
2019136521277,1,1,3,1,25,5,2,1,1,0,0,0,0,1,6
2019136531342,1,1,3,2,16,4,3,5,1,0,0,0,0,1,1
2019136531792,2,1,1,1,18,4,3,0,0,0,0,0,9,1,1
2019136540437,2,1,1,1,37,7,3,0,0,0,0,0,1,1,1
2019136541161,1,1,1,2,31,6,3,0,0,0,0,0,9,1,1
2019136541471,1,1,2,1,24,5,3,0,0,1,0,0,9,1,1
2019136541548,2,1,1,1,37,7,3,0,0,0,0,0,8,1,3
2019136550886,2,1,1,1,28,6,3,0,0,0,0,0,9,1,1
2019136551348,1,1,1,2,42,7,3,0,0,0,0,0,9,1,1
2019136551348,1,2,2,1,25,5,3,0,0,1,0,0,9,1,1
2019136551348,2,3,1,1,44,7,3,0,0,0,0,0,9,1,2
2019136571677,1,1,1,1,26,6,3,0,0,0,0,0,9,1,3
2019136571677,1,2,2,1,19,4,3,0,0,1,0,0,9,1,4
2019136580282,1,1,3,2,13,3,3,10,9,0,0,0,0,1,2
2019136580904,2,1,1,1,48,8,3,0,0,0,0,0,9,1,4
2019136580904,2,2,2,1,44,7,3,0,0,1,0,0,9,1,1
2019136580904,2,3,2,1,43,7,3,0,0,2,0,0,9,-1,-1
2019136590833,1,1,3,2,27,6,3,1,4,0,0,0,0,1,3
20191365A1304,2,1,1,2,22,5,3,0,0,0,0,0,9,1,4
20191365A1304,2,2,2,2,50,8,3,0,0,1,0,0,9,1,1
20191365A1527,1,1,1,1,21,5,1,0,0,0,0,0,4,1,1
20191365B0443,1,1,1,1,61,9,3,0,0,0,0,0,11,1,6
20191365B0785,2,1,1,1,56,9,3,0,0,0,0,0,22,1,1
20191365B1259,2,1,1,1,42,7,3,0,0,0,0,0,9,1,1
20191365D0364,1,1,3,1,60,9,3,4,9,0,0,0,0,1,2
20191365D0364,1,2,3,2,7,2,3,4,9,0,0,0,0,1,2
20191365D0675,1,1,3,1,87,11,3,10,9,0,0,0,0,1,2
20191365E1135,2,1,1,1,14,3,3,0,0,0,0,0,1,1,2
20191365F1000,1,1,1,1,23,5,3,0,0,0,0,0,9,1,4
