,Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
75473,20191362O0485,1,8,0,7,0,6,0,0,0,0,1,1,1,1,44,7,1598,2,9,4,1,4
75474,20191362O0485,2,1,0,18,0,8,5,0,0,0,4,1,6,1,50,8,-1,-1,-1,3,1,3
75487,20191362O1829,1,9,0,18,0,1,0,0,0,0,3,1,6,2,21,5,1598,1,13,1,1,1
75488,20191362O1829,2,9,0,18,0,1,0,0,0,0,4,1,6,1,68,10,-1,-1,-1,8,1,8
75491,20191362P0747,1,9,0,9,0,8,0,0,0,0,3,1,6,1,67,10,1797,8,6,3,1,3
75494,20191362P1000,1,9,0,7,0,0,0,0,0,0,1,1,6,2,48,8,1598,2,4,7,1,7
75500,20191362P1823,1,1,0,18,0,8,0,0,0,0,3,1,6,1,19,4,-1,-1,-1,4,2,4
75501,20191362P1823,2,9,0,18,0,8,0,0,0,0,1,1,6,1,63,9,1598,2,4,8,2,8
75502,20191362P1823,3,9,0,18,0,8,0,0,0,0,1,1,6,2,60,9,1995,2,11,3,1,3
75508,20191362Q0571,1,9,0,18,0,0,0,0,0,0,2,1,6,1,32,6,1997,1,19,1,1,1
75512,20191362Q1330,1,9,0,18,0,0,0,0,0,0,1,1,2,1,64,9,1086,1,14,2,1,2
75522,20191362R0445,1,9,0,4,0,1,0,0,0,0,1,1,6,1,25,5,3456,8,12,-1,-1,-1
75523,20191362R0445,2,9,0,3,0,1,0,0,0,0,2,1,6,1,31,6,1988,1,17,2,1,2
75534,20191362R1526,1,9,0,18,0,2,0,0,0,0,1,1,6,1,30,6,-1,-1,-1,2,1,2
75535,20191362R1526,2,9,0,10,0,2,0,0,0,0,1,1,6,1,51,8,1997,2,7,4,1,4
75537,20191362R1803,1,4,0,18,0,1,0,0,0,0,1,1,6,1,27,6,649,1,13,1,1,1
75538,20191362R1803,2,9,0,9,0,8,0,0,0,0,2,1,1,1,57,9,1598,2,8,-1,-1,-1
75553,20191362S1988,1,9,0,18,0,2,0,0,0,0,4,1,6,1,24,5,1598,2,6,3,1,3
75554,20191362S1988,2,9,0,9,0,1,0,0,0,0,1,1,6,1,25,5,1968,2,14,1,1,1
75557,2019136310287,1,9,0,18,0,8,0,0,0,0,1,1,6,1,33,6,2494,8,2,1,1,1
75585,2019136321383,1,9,0,18,0,8,0,0,0,0,1,1,6,2,45,7,1490,1,10,1,1,1
75586,2019136321383,2,9,0,9,0,8,0,0,0,0,1,1,6,2,35,6,1598,2,6,3,1,3
75596,2019136330009,1,9,0,6,0,0,0,0,0,0,1,1,6,1,49,8,1896,2,10,-1,-1,-1
75597,2019136330009,2,8,0,18,0,0,0,0,0,0,1,1,6,1,58,9,1968,2,5,2,1,2
75603,2019136340320,1,9,0,3,0,0,0,0,0,0,2,1,3,2,36,7,1968,2,3,5,1,5
75604,2019136340320,2,9,0,4,0,0,0,0,0,0,1,1,6,2,44,7,998,1,6,9,1,9
75605,2019136340425,1,20,4,18,0,1,0,0,0,0,0,1,1,1,51,8,-1,-1,-1,7,1,7
75618,2019136341295,1,9,0,18,0,2,0,0,0,0,1,1,6,1,59,9,1896,2,14,1,1,1
75619,2019136341295,2,19,0,5,0,1,0,0,0,0,4,1,6,1,57,9,2402,2,13,1,1,1
75622,2019136350321,1,9,0,9,0,1,0,0,0,0,1,1,6,2,56,9,999,1,1,4,1,4
75623,2019136350321,2,1,0,18,4,1,0,0,0,0,3,1,6,1,34,6,-1,-1,-1,9,1,9
75635,2019136351636,1,9,0,18,0,1,0,0,0,0,3,1,6,1,56,9,2198,2,13,-1,-1,-1
