,Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
41419,2019136290576,413454.0,433908.0,-1.7972119999999998,53.801316,13,3,2,1,09/02/2019,7,09:14,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,5,2,0,0,1,1,E01010630
41423,2019136291070,411690.0,447851.0,-1.8234689999999998,53.926676,13,2,1,1,09/02/2019,7,14:25,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010695
41426,2019136291529,418001.0,429962.0,-1.728406,53.765714,13,3,3,1,08/02/2019,6,17:30,200,E08000032,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01010817
41440,20191362B1327,412321.0,435406.0,-1.814355,53.814808,13,3,1,1,11/02/2019,2,17:00,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010674
41445,20191362C0379,418422.0,431500.0,-1.721928,53.779523,13,2,2,1,12/02/2019,3,09:08,200,E08000032,3,6177,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010609
41447,20191362C0478,419171.0,430218.0,-1.710641,53.767974,13,3,1,1,12/02/2019,3,10:15,200,E08000032,6,0,6,30,3,4,3,650,0,5,1,1,1,0,0,1,1,E01010814
41456,20191362D0330,416663.0,432781.0,-1.748552,53.791095,13,3,1,1,13/02/2019,4,07:50,200,E08000032,6,0,6,30,6,2,6,0,0,5,1,1,1,0,0,1,2,E01033690
41464,20191362D1902,414481.0,434525.0,-1.781591,53.806835,13,3,2,1,13/02/2019,4,18:10,200,E08000032,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,2,E01010808
41474,20191362E1360,413228.0,435409.0,-1.8005799999999998,53.814813,13,3,2,1,14/02/2019,5,16:51,200,E08000032,4,6144,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01010671
41476,20191362E2156,417233.0,432363.0,-1.7399229999999999,53.787319999999994,13,2,3,1,14/02/2019,5,23:29,200,E08000032,3,650,1,30,1,4,6,0,0,0,1,1,1,0,0,1,1,E01010613
